Time,Day,Date,Year,Social Media
after5,Saturday, October 28,2020,0.0
before5,Sunday, October 25 ,2020,0.0
before5,Tuesday, October 13,2020,0.0
after5,Wednesday, September 30,2020,0.0
after5,Monday,September 28,2020,0.0
after5,Saturday, September 26,2020,0.0
before5,Saturday, September 12,2020,0.0
after5,Sunday, September 06,2020,0.0
before5,Thursday, September 03,2020,0.0
after5,Tuesday, September 01,2020,0.0
after5,Friday, August 21,2020,0.0
before5,Friday, August 21,2020,0.0
before5,Saturday, August 15,2020,0.0
after5,Sunday,August 9,2020,0.0
after5,Sunday, July 19,2020,0.0
before5,Thursday, July 16,2020,0.0
after5,Monday, July 13,2020,0.0
before5,Wednesday, July 08,2020,0.0
after5,Tuesday, July 07,2020,0.0
before5,Monday, July 06,2020,0.0
before5,Sunday, July 05,2020,0.0
before5,Thursday, July 02,2020,0.0
after5,Wednesday, July 01,2020,0.0
after5,Monday, June 22,2020,0.0
before5,Friday, June 19,2020,0.0
after5,Saturday, June 13,2020,0.0
after5,Friday, June 12,2020,0.0
before5,Tuesday, June 09,2020,0.0
after5,Monday, June 08,2020,0.0
after5,Monday, June 08,2020,0.0
after5,Monday, June 08,2020,0.0
after5,Sunday,June 07,2020,0.0
after5,Monday,May 25,2020,0.0
before5,Sunday,May 10,2020,0.0
before5,Friday, April 24,2020,0.0
after5,Thursday, April 16,2020,0.0
after5,Saturday, April 04,2020,0.0
after5,Friday, April 02,2020,0.0
before5,Saturday, March 28,2020,0.0
before5,Friday, March 27,2020,0.0
before5,Thursday, March 26,2020,0.0
after5,Tuesday, March 24,2020,0.0
after5,Monday, March 23,2020,0.0
before5,Sunday, March 22,2020,0.0
after5,Saturday, March 21,2020,0.0
before5,Tuesday, March 17,2020,0.0
before5,Sunday, March 15,2020,0.0
after5,Thursday, March 12,2020,0.0
after5,Monday, February 03,2020,0.0
after5,Thursday, January 16,2020,0.0
after5,Wednesday, January 15,2020,0.0
before5,Sunday, January 12,2020,0.0
after5,Saturday, January 11,2020,0.0
after5,Wednesday, January 08,2020,0.0
before5,Sunday, December 29,2019,0.0
after5,Sunday, December 08,2019,0.0
after5,Saturday, December 07,2019,0.0
after5,Saturday, December 07,2019,0.0
after5,Sunday, November 10,2019,0.0
before5,Sunday, November 03,2019,0.0
before5,Friday, October 18,2019,0.0
after5,Tuesday, October 01,2019,0.0
before5,Monday, September 30,2019,0.0
before5,Monday, September 23,2029,0.0
before5,Thursday, September 19,2019,0.0
before5,Monday, August 19,2019,0.0
after5,Saturday, August 03,2019,0.0
after5,Wednesday, September 30,2020,1.0
after5,Saturday, September 26,2020,1.0
before5,Saturday, September 12,2020,1.0
after5,Friday, September 11,2020,1.0
after5,Friday, September 11,2020,1.0
after5,Sunday, September 06,2020,1.0
before5,Friday, September 04,2020,1.0
after5,Tuesday, September 01,2020,1.0
after5,Friday, August 21,2020,1.0
after5,Sunday, July 19,2020,1.0
before5,Thursday, July 16,2020,1.0
after5,Tuesday, July 14,2020,1.0
before5,Wednesday, July 08,2020,1.0
after5,Tuesday, July 07,2020,1.0
before5,Tuesday, July 07,2020,1.0
before5,Tuesday, July 07,2020,1.0
before5,Sunday, July 05,2020,1.0
before5,Thursday, July 02,2020,1.0
after5,Wednesday, July 01,2020,1.0
after5,Monday, June 22,2020,1.0
before5,Friday, June 19,2020,1.0
after5,Saturday, June 13,2020,1.0
after5,Friday, June 12,2020,1.0
before5,Friday, June 12,2020,1.0
after5,Friday, June 11,2010,1.0
before5,Thursday, June 11,2020,1.0
after5,Wednesday, June 10,2020,1.0
after5,Wednesday, June 10,2020,1.0
before5,Wednesday, June 10,2020,1.0
before5,Tuesday, June 09,2020,1.0
after5,Monday, June 08,2020,1.0
after5,Monday, June 08,2020,1.0
after5,Monday, June 08,2020,1.0
after5,Monday, March 30,2020,1.0
before5,Wednesday, March 25,2020,1.0
after5,Saturday, April 04,2020,1.0
after5,Saturday, April 04,2020,1.0
after5,Saturday, March 28,2020,1.0
before5,Friday, March 27,2020,1.0
before5,Thursday, March 26,2020,1.0
after5,Tuesday, March 24,2020,1.0
after5,Monday, March 23,2020,1.0
before5,Sunday, March 22,2020,1.0
after5,Saturday, March 21,2020,1.0
before5,Tuesday, March 17,2020,1.0
after5,Thursday, March 12,2020,1.0
after5,Wednesday,February 26,2020,1.0
after5,Tuesday, January 21,2020,1.0
after5,Tuesday, February 18,2020,1.0
before5,Saturday,February 15,2020,1.0
after5,Thursday, January 16,2020,1.0
after5,Wednesday, January 15,2020,1.0
before5,Saturday, January 11,2020,1.0
before5,Friday, January 10,2020,1.0
before5,Wednesday, January 08,2020,1.0
before5,Tuesday, Januray 07,2020,1.0
before5,Sunday, December 29,2019,1.0
after5,Thursday,December 18,2019,1.0
after5,Sunday, December 08,2019,1.0
before5,Saturday, December 07,2019,1.0
before5,Saturday, December 07,2019,1.0
before5,Sunday, November 10,2019,1.0
before5,Sunday, November 03,2019,1.0
after5,Friday, October 18,2019,1.0
before5,Tuesday, October 01,2019,1.0
before5,Thursday, September 19,2019,1.0
before5,Monday, August 19,2019,1.0
after5,Saturday, August 03,2019,1.0
